short_name,age,club_name,nationality_name,overall,potential,value_eur,wage_eur,player_positions,pace,shooting,passing,dribbling,defending,physic,preferred_foot,sofifa_id
E. Williams,19,Bayer 04 Leverkusen,Germany,65,77,10780000,20000,RWB,63,52,77,60,70,89,Right,100262
E. Jones,21,FC Barcelona,Italy,73,78,11980000,21000,GK,66,72,67,62,58,74,Right,100263
E. Schneider,26,Paris Saint-Germain,Uruguay,75,77,12040000,25000,GK,61,68,63,74,55,67,Right,100264
L. Dubois,18,Benfica,France,63,71,8650000,20000,GK,72,64,79,61,59,86,Right,100265
A. Müller,19,FC Barcelona,Spain,76,82,14030000,25000,LM,77,79,81,85,52,60,Right,100266
M. Smith,20,Brighton & Hove Albion,Spain,70,80,12230000,24000,LW,77,85,59,71,49,69,Right,100267
H. Jones,31,Sporting CP,Uruguay,79,79,8980000,19000,CDM,74,71,87,83,78,63,Right,100268
K. Brown,16,Manchester City,Germany,72,79,12160000,26000,LB,82,53,73,59,86,69,Right,100269
E. Conti,20,Borussia Dortmund,Uruguay,63,70,8300000,19000,CM,85,72,76,88,68,66,Right,100270
J. Taylor,18,Liverpool,Brazil,70,78,11530000,20000,GK,87,58,58,66,42,81,Right,100271
V. Kovacić,19,Arsenal,Argentina,73,82,13380000,26000,GK,61,81,82,81,48,71,Right,100272
N. Santos,24,Liverpool,Portugal,73,79,12330000,26000,GK,56,81,75,81,40,79,Left,100273
A. Rossi,22,Inter,Japan,74,77,11830000,26000,GK,59,55,67,80,52,77,Right,100274
H. García,32,Manchester City,Argentina,85,85,11860000,25000,RW,73,81,60,84,52,65,Left,100275
H. Schmidt,20,Juventus,Brazil,65,77,10780000,23000,LW,73,66,77,83,52,72,Right,100276
M. Müller,21,Atlético de Madrid,Ghana,76,82,14030000,26000,CAM,67,67,88,75,62,74,Right,100277
H. Fernández,30,Liverpool,Nigeria,84,84,17450000,34000,CM,70,66,68,67,77,73,Right,100278
M. Rossi,19,Aston Villa,Colombia,71,78,11660000,24000,CB,87,55,65,77,69,75,Right,100279
V. Conti,27,Bayer 04 Leverkusen,Argentina,77,77,12530000,22000,RB,76,57,78,67,86,72,Left,100280
E. Williams,24,Real Madrid,Spain,68,76,10620000,20000,LW,77,77,65,92,47,65,Left,100281
J. Kovacić,23,Atlético de Madrid,England,70,79,11880000,23000,CF,86,69,77,88,32,80,Right,100282
R. Williams,20,Inter,Morocco,65,74,9730000,21000,LM,80,64,86,84,60,83,Right,100283
L. Moreau,17,Atlético de Madrid,Croatia,75,86,15190000,30000,GK,62,64,60,74,50,81,Right,100284
M. Kovacić,19,Free Agent,Portugal,77,90,17080000,35000,GK,63,56,69,77,37,81,Right,100285
M. Brown,19,Ajax,Morocco,65,79,11480000,22000,CDM,86,83,90,83,59,78,Right,100286
L. Van Dijk,17,Atlético de Madrid,Italy,72,85,14260000,25000,GK,67,86,70,91,36,75,Right,100287
R. Brown,16,Aston Villa,Ghana,62,75,10050000,19000,LB,68,59,62,68,85,89,Right,100288
L. Conti,19,Benfica,Ghana,65,75,10080000,20000,GK,86,75,57,85,57,71,Left,100289
M. Müller,26,Juventus,Italy,78,80,13860000,26000,RWB,72,55,62,68,75,81,Right,100290
V. Conti,24,Sporting CP,Ghana,79,88,16970000,34000,RW,91,86,68,92,46,82,Left,100291
L. De Jong,16,Juventus,Germany,63,70,8300000,18000,LM,76,77,85,80,68,80,Left,100292
R. Williams,26,Liverpool,Netherlands,82,83,16270000,32000,CDM,66,58,91,68,80,79,Right,100293
M. Popov,21,Aston Villa,Brazil,80,87,16940000,35000,CF,81,79,82,72,39,62,Right,100294
J. Silva,20,Ajax,Italy,77,90,17080000,36000,GK,59,57,55,63,42,67,Left,100295
J. Smith,20,Sporting CP,Japan,71,78,11660000,24000,LWB,84,44,75,68,74,69,Right,100296
J. Taylor,20,Juventus,Japan,74,88,15680000,30000,RWB,63,56,64,76,79,84,Left,100297
H. Taylor,16,Juventus,Morocco,70,77,11180000,22000,CM,77,76,90,71,73,76,Right,100298
N. Schmidt,35,Borussia Dortmund,Belgium,71,71,5990000,11000,RM,65,77,77,89,71,60,Right,100299
E. Schmidt,18,Benfica,Italy,67,77,10890000,24000,RB,67,55,64,60,81,71,Left,100300
S. Rossi,18,Bayern München,Morocco,74,83,13930000,26000,RM,84,64,71,79,52,81,Left,100301
L. Rossi,17,Manchester City,Norway,71,83,13410000,26000,RW,93,88,59,85,43,82,Right,100302
S. Williams,25,Bayer 04 Leverkusen,Portugal,86,88,19780000,41000,LM,80,79,91,78,61,83,Right,100303
L. Popov,23,Borussia Dortmund,Netherlands,82,87,17670000,33000,CM,77,70,71,88,66,80,Right,100304
M. Fernández,19,Brighton & Hove Albion,Italy,76,85,15080000,27000,LB,86,62,69,65,89,80,Left,100305
L. Taylor,18,Paris Saint-Germain,Colombia,67,76,10540000,19000,GK,81,69,60,74,48,75,Left,100306
E. Conti,24,Inter,England,77,86,15680000,28000,CF,94,84,67,85,27,67,Right,100307
M. Schneider,23,Brighton & Hove Albion,Argentina,81,88,17640000,34000,RWB,76,53,64,57,81,86,Right,100308
E. Rossi,20,Manchester City,France,77,87,16030000,30000,LW,86,85,67,72,28,60,Right,100309
E. Jones,22,Free Agent,Ghana,81,89,17990000,36000,GK,55,78,79,63,40,73,Left,100310
H. Moreau,18,Bayer 04 Leverkusen,Germany,73,87,15130000,28000,RWB,83,59,58,75,91,79,Right,100311
S. Schneider,16,Real Madrid,Italy,67,79,11590000,20000,LWB,82,62,68,64,83,83,Right,100312
R. Van Dijk,24,Brighton & Hove Albion,Ghana,77,79,13230000,23000,LB,65,43,67,58,91,78,Right,100313
L. Schneider,17,Arsenal,Japan,71,85,14110000,25000,GK,87,81,61,65,49,82,Right,100314
S. Van Dijk,24,Borussia Dortmund,Nigeria,78,83,14910000,31000,CB,74,41,75,64,79,81,Right,100315
V. Kovacić,24,Real Madrid,Belgium,77,83,14630000,31000,CAM,66,60,90,70,73,74,Right,100316
L. Jones,20,Inter,Argentina,70,80,12230000,25000,CB,71,67,72,75,71,77,Left,100317
E. De Jong,17,Borussia Dortmund,Netherlands,67,79,11590000,22000,CDM,78,81,69,76,58,64,Right,100318
H. Popov,23,Atlético de Madrid,Colombia,68,71,8870000,20000,CF,83,70,59,68,34,75,Left,100319
R. García,18,Sporting CP,Nigeria,67,81,12290000,24000,LB,69,50,70,73,74,89,Right,100320
M. Taylor,19,Sporting CP,Portugal,76,89,16480000,34000,GK,64,86,61,80,54,68,Right,100321
M. Jones,24,Bayern München,Portugal,73,81,13030000,25000,RB,80,49,76,74,81,76,Left,100322
M. Jones,21,Arsenal,Ghana,79,82,14870000,31000,GK,56,79,78,89,37,72,Left,100323
A. Jones,19,Inter,France,71,80,12360000,24000,ST,75,71,77,90,49,81,Left,100324
J. Kovacić,20,FC Barcelona,England,64,74,9710000,21000,CDM,72,81,79,75,57,81,Left,100325
A. Santos,20,FC Barcelona,Japan,70,79,11880000,21000,CDM,82,65,90,74,64,72,Right,100326
E. Müller,28,Brighton & Hove Albion,Uruguay,77,78,12880000,27000,LM,67,69,69,72,65,60,Left,100327
M. García,20,Free Agent,Brazil,72,79,12160000,23000,LW,77,70,58,68,47,62,Right,100328
A. Van Dijk,27,Sporting CP,Brazil,85,87,18950000,34000,GK,58,84,60,73,56,83,Right,100329
E. Jones,27,Free Agent,Colombia,81,83,15890000,32000,GK,70,55,67,82,55,85,Left,100330
H. De Jong,24,Arsenal,Belgium,69,74,10010000,18000,LB,65,65,77,59,70,68,Right,100331
K. Popov,16,Real Madrid,Netherlands,65,72,9030000,18000,GK,59,82,83,68,54,70,Right,100332
R. Santos,21,Ajax,England,70,75,10480000,23000,GK,56,63,75,83,36,86,Right,100333
H. Dubois,25,Free Agent,Portugal,85,85,18250000,36000,GK,80,87,75,62,54,66,Right,100334
E. Dubois,19,Juventus,Italy,76,83,14380000,30000,RWB,70,57,70,76,84,72,Right,100335
M. Dubois,25,Brighton & Hove Albion,Norway,84,86,18150000,33000,CM,62,77,83,67,51,60,Right,100336
K. Taylor,23,Benfica,England,79,87,16620000,31000,GK,60,63,74,87,35,72,Right,100337
K. Smith,17,Arsenal,Norway,77,85,15330000,27000,RW,94,79,63,82,45,57,Left,100338
N. Dubois,24,Borussia Dortmund,Norway,72,79,12160000,21000,RWB,76,43,57,67,82,85,Right,100339
A. Smith,23,Brighton & Hove Albion,Morocco,73,77,11630000,22000,ST,71,88,71,73,38,58,Right,100340
S. Schmidt,20,Juventus,Spain,75,83,14140000,30000,CF,83,91,77,84,49,62,Left,100341
A. Schmidt,24,Manchester City,Belgium,77,84,14980000,28000,CDM,83,73,86,79,68,60,Left,100342
J. Kovacić,24,Free Agent,Portugal,76,81,13680000,29000,GK,61,68,63,86,57,83,Left,100343
E. Silva,27,Bayer 04 Leverkusen,Portugal,83,86,17720000,32000,RB,80,51,63,55,91,87,Right,100344
R. Schmidt,19,Aston Villa,Netherlands,72,82,13210000,25000,CF,78,91,71,76,28,81,Right,100345
H. Taylor,28,Atlético de Madrid,Norway,77,78,12880000,28000,LM,70,81,90,81,78,74,Right,100346
N. Jones,19,Bayern München,Japan,73,81,13030000,23000,RM,75,75,88,86,54,73,Right,100347
O. Smith,26,Manchester City,Netherlands,72,75,10760000,20000,RB,68,43,58,57,84,69,Right,100348
A. Kovacić,27,Brighton & Hove Albion,Norway,70,73,9780000,17000,GK,66,66,68,74,49,73,Right,100349
G. Van Dijk,19,Borussia Dortmund,Japan,65,76,10430000,19000,RB,79,63,73,58,90,74,Right,100350
N. Jones,18,Paris Saint-Germain,Uruguay,65,76,10430000,18000,LM,83,69,69,89,51,80,Right,100351
N. Schneider,33,Free Agent,England,75,75,7370000,13000,RWB,65,40,76,72,84,79,Right,100352
L. Smith,22,Arsenal,Netherlands,78,87,16310000,34000,GK,55,83,67,76,37,72,Right,100353
J. Brown,20,Ajax,Uruguay,77,86,15680000,33000,CB,76,47,60,71,81,84,Right,100354
L. Silva,18,Free Agent,Morocco,72,81,12860000,27000,LW,70,90,64,88,45,71,Left,100355
M. Moreau,18,Free Agent,Norway,71,82,13060000,25000,GK,63,78,59,76,43,81,Right,100356
L. Fernández,17,Sporting CP,Brazil,64,76,10410000,18000,CF,78,71,70,78,38,73,Right,100357
M. Moreau,20,Atlético de Madrid,Belgium,76,82,14030000,27000,RWB,71,53,66,62,75,88,Left,100358
M. Jones,19,Borussia Dortmund,Netherlands,74,80,12880000,26000,GK,80,82,80,64,42,78,Right,100359
N. Van Dijk,17,Aston Villa,Croatia,74,86,14980000,30000,GK,74,72,72,61,38,65,Left,100360
E. García,20,Benfica,Colombia,63,73,9350000,18000,GK,82,74,71,60,46,83,Right,100361
G. Schmidt,20,Benfica,Belgium,68,75,10270000,23000,GK,83,64,56,78,45,77,Right,100362
A. Kovacić,16,Manchester City,Argentina,63,71,8650000,18000,GK,63,82,57,79,40,85,Right,100363
V. Müller,28,Aston Villa,Spain,75,77,12040000,24000,GK,56,71,63,89,46,67,Right,100364
G. Kovacić,20,Aston Villa,Morocco,68,83,13070000,28000,RWB,80,65,79,77,91,73,Right,100365
N. Brown,26,Atlético de Madrid,England,80,81,14840000,28000,CF,82,87,66,88,30,80,Right,100366
N. Conti,22,Aston Villa,Italy,79,82,14870000,28000,CF,72,67,69,82,33,77,Right,100367
N. Dubois,19,Atlético de Madrid,Morocco,77,92,17780000,32000,LM,65,58,91,72,51,81,Left,100368
V. Van Dijk,18,FC Barcelona,Norway,68,77,10970000,20000,CF,70,65,72,87,43,83,Right,100369
S. Müller,21,Aston Villa,Brazil,69,74,10010000,18000,GK,85,81,84,70,51,81,Left,100370
L. García,23,Real Madrid,Norway,72,81,12860000,23000,CAM,77,77,91,77,55,58,Left,100371
L. Müller,17,FC Barcelona,Argentina,62,69,7950000,15000,CAM,85,60,78,78,53,83,Left,100372
L. Silva,16,FC Barcelona,Uruguay,67,82,12640000,25000,LW,87,70,72,88,54,64,Right,100373
L. Rossi,28,Brighton & Hove Albion,Croatia,74,75,11130000,19000,LM,66,60,90,71,53,75,Right,100374
M. Schneider,25,Aston Villa,Argentina,86,86,19080000,38000,RWB,86,51,67,70,89,71,Right,100375
S. Williams,33,Arsenal,Spain,76,76,7750000,15000,CAM,74,59,80,87,70,80,Right,100376
K. Rossi,20,Benfica,Spain,71,78,11660000,21000,RW,82,83,83,84,45,68,Right,100377
N. Popov,23,Bayer 04 Leverkusen,Nigeria,72,77,11460000,20000,CM,68,61,86,66,77,81,Right,100378
L. Van Dijk,35,Juventus,Croatia,80,80,9420000,17000,RB,61,45,58,73,84,70,Right,100379

